tier,id,display_name,task_category,what,goal,ai_tools,result,result_detail,is_anonymous
2,seed-t2-005,ちはる,リサーチ,専門用語の確認,最新の業界用語を把握,ChatGPT / Perplexity,solved,IT系の翻訳で「この用語、最近どう訳されてる？」という確認に使ってます。特にPerplexityは出典を示してくれるので説明に使えます。翻訳自体はAIに任せないけど、調査ツールとしては最高。,False
2,seed-t2-006,えり_design,ライティング,クライアントへの提案メール,デザインの意図を言語化,ChatGPT,solved,デザインは作れるんだけど「なぜこのデザインにしたか」を言葉で説明するのがずっと苦手で。色やフォントの選定理由を箇条書きで渡すとクライアント向けのちゃんとした説明文にしてくれる。「言葉にできないけどいい感じ」を言語化してくれる。ほんと相棒。,False
2,seed-t2-007,むらた,自動化,営業日報の自動生成,Excelの商談メモから日報を自動で作りたい,ChatGPT,solved,Excelに入れた商談メモをコピペして「社内の日報フォーマットに整えて」と頼むだけ。フォーマットを最初に登録しておけば毎回使い回せる。書くのが面倒で翌朝になりがちだった日報が当日中に出せるようになった。上司に「最近日報が読みやすい」と言われてる。,False
2,seed-t2-008,ひでき,ライティング,議員のSNS投稿,政策を分かりやすく伝えたい,ChatGPT,partial,政策の説明を「高校生でも分かるように」書き直してもらっています。ただ、政治的にセンシティブな表現は自分でチェックが必要です。一度「両論併記」にされてしまって、議員の立場と違う内容になりかけたことがありました。下書きとしては優秀です。,True
2,seed-t2-009,じゅんいちろう,自動化,備品管理台帳のExcel自動化,手入力での更新作業をなくしたい,ChatGPT / Gemini,solved,ExcelにVBAマクロを書いてもらった。「マクロって何ですか」から始めて、コードを貼り付けたら入力フォームが完成した。今は誰でも台帳を更新できる。総務のくせにちょっとITっぽいことができて少しだけ自信ついた。,False
2,seed-t2-010,まな,自動化,問い合わせメールの自動振り分け,Gmailに来る問い合わせを種類別に自動分類したい,ChatGPT / Zapier,partial,ZapierとChatGPTを連携させて「クレーム」「資料請求」「採用」に自動振り分けする仕組みを作った。設定に1週間かかったけど今は8割くらい正確に分類できてる。残り2割は微妙な内容で結局人間が確認してる。,False
2,seed-t2-011,さやか_HR,分析,応募者データの傾向分析,採用チャネルごとの効果を数字で把握したい,ChatGPT / Gemini,solved,過去2年分の応募データをExcelにまとめてChatGPTに渡したら「Indeed経由は一次通過率が高いがオファー承諾率が低い」「リファラルは承諾率90%」みたいな傾向を出してくれた。感覚でやってた採用チャネルの予算配分をデータで判断できるようになった。,False
2,seed-t2-012,ゆあ_illust,ライティング,見積もりの説明文,料金の妥当性を伝えたい,ChatGPT,solved,「5万は高い」って言われるたびに消耗してた。作業工程ごとの時間を箇条書きで渡して「相手を納得させる説明文にして」って頼んだら、ラフ〜修正対応までの工数を丁寧に言語化してくれた。値下げ交渉がだいぶ減った。あれほんと助かった。,False
2,seed-t2-013,だいき_law,リサーチ,判例の要約,レポートの参考にしたい,ChatGPT / Claude,partial,有名判例の概要はだいたい教えてくれる。細かい年号とか裁判所名が間違ってることあるから原典確認は必須。。まあ思い出すきっかけ程度。,False
2,seed-t2-014,まこ,ライティング,新郎新婦へのメッセージ,心に残るお祝いの言葉,ChatGPT,solved,毎週のように結婚式があり、メッセージを考えるのが大変でした。「新郎新婦の馴れ初め」を入力すると、それに合わせたオリジナルメッセージを作ってくれます。「世界に一つだけの祝辞」を量産...は言い方悪いですが、お二人には喜んでもらえています。,True
2,seed-t2-015,ひろ,ライティング,お詫びメール,誠意が伝わる文章にしたい,ChatGPT,solved,納期遅延のお詫びメールを急いで書かないといけなくて、ChatGPTに相談した。「言い訳をせず具体的な対策を示す」というポイントを押さえた文章を出してくれた。結果的に顧客から「誠実な対応ありがとう」って言ってもらえた。あわてた時ほどAI頼りになる。,False
2,seed-t2-016,こうじ,リサーチ,副業の確定申告,何を経費にできるか、どう申告するか把握したい,ChatGPT / Claude,partial,副業収入が100万超えてきて確定申告を初めて自分でやることにした。「通信費って経費にできる?」「家賃按分ってどうやるの?」とか細かく聞けば答えてくれる。最終的には税務署に確認したけど基礎知識ゼロの状態からでもほとんど自力でできたと思う,False
2,seed-t2-017,えりな,その他,英会話のロールプレイ練習,海外出張前に英語力を上げたい,ChatGPT,solved,「ビジネス会議のロールプレイをして。変な表現があったら指摘して」って頼んだら永遠に付き合ってくれる。英会話スクールより圧倒的に安いし、変な英語を言っても恥ずかしくないのが地味にでかい。,False
2,seed-t2-018,ちいかぶ,リサーチ,新NISAの仕組みを理解する,どの商品に投資すればいいか判断したい,ChatGPT / Gemini,partial,「何を買えばいいか」って聞いたら「具体的な銘柄の推奨はできません」って言われた。でもインデックスとアクティブの違いとかリスク許容度の考え方は教えてくれたから、自分で判断できるようにはなった。答えは教えてくれないけど勉強にはなる。,False
2,seed-t2-019,レシートまみれ,自動化,レシートの家計簿入力,手打ちをなくして自動で記録したい,Gemini,partial,レシートを写真に撮って「家計簿の形式にして」って送ったら日付・品目・金額のCSVが出てきた！あとはスプレッドシートに貼るだけ。手打ち作業が8割減。ただ撮り方が悪いと読み取り精度が落ちる。,False
2,seed-t2-020,データおじさん,分析,3年分の売上データ分析,月別・商品別の傾向をつかみたい,ChatGPT,unsolved,Excelのデータ数千行をそのままコピペしたら「長すぎて処理できません」と言われた。じゃあどうしろっていうんだ。。,False
2,seed-t2-021,ゆい_plan,ライティング,新サービスのキャッチコピー,刺さる一言を作りたい,ChatGPT,partial,10個出してもらったけど、どれも見たことあるような無難なコピーばかり。やっぱりコピーライターには勝てないな、と思った。,False
2,seed-t2-022,ともき,自動化,1時間の会議録音から議事録を作成,文字起こし→議事録まで自動化したい,ChatGPT / Gemini,unsolved,WhisperでAIが文字起こしした全文をChatGPTに貼り付けたら途中で切れた。長すぎて一度に処理できないっぽい。分割すればいいのかもしれないけどやり方がわからない。,False
2,seed-t2-023,りか,ライティング,企画書の作成,上司に通る企画書を書きたい,ChatGPT,solved,通った。,False
2,seed-t2-024,ますだ,ライティング,クレーム対応メールの返信,怒っているお客さんをうまく落ち着かせたい,ChatGPT,partial,最初に出てきた文章がかなり良かったんですよ。ちょうどいい距離感で謝罪してて、これだって思って送ったんですよ。でも相手からまたクレームがきて、今度は少し言い方を変えてほしいと思ってAIに返信を作ってもらったら、なんか急に謝りすぎな文章になってしまって。。「もう少し毅然とした感じで」って指示したら今度はなんか冷たい感じになって。結局そこから自分でゴリゴリ直して送ったんですが、AIに頼むたびにブレるんですよね。コンテキストが引き継がれないのが原因だと思うんですが、毎回最初から説明しないといけないのがつらい。慣れの問題なのかなあ。,False
3,seed-t3-001,k_cto,コーディング,PR（プルリクエスト）のレビュー,レビュー時間を短縮したい,Claude Code,solved,GitHubのPRをClaude Codeに読ませて「セキュリティリスクと設計上の問題を指摘して」とやってる。人間レビューの前段として使うと、明らかなやつは事前に潰せる。体感でレビュー時間40%くらい減った。ビジネスロジックの妥当性は人間が判断するしかないけど。,False
3,seed-t3-002,nori_dev,コーディング,単体テストの生成,カバレッジを上げたい,Claude Code / Copilot,solved,会社でGitHub Copilotを使う縛りがあるんだけど、テスト生成はClaude Codeの方が明らかに精度が高い。「このファイルの単体テストを書いて。エッジケースも含めて」と頼むと網羅的なテストが出てくる。レガシーコードのカバレッジ60%→85%まで上げられた。Copilotは補完に使って、テスト生成はClaude Codeって使い分けてる。,False
3,seed-t3-003,たくしょ,自動化,アラート対応の自動化,深夜のオンコール負担を軽減,ChatGPT,partial,半年かけて仕組み作ったけど、思ったほどオンコール減らなかった。本番環境には自動で触らせられないし、判断は結局人間がしないといけない。「提案してくれるボット」止まり。ないよりマシだけど期待しすぎた。,False
3,seed-t3-004,あいり,ライティング,PRD（製品要求仕様書）の作成,抜け漏れのない仕様書,Claude / ChatGPT,solved,PRD書くとき「ユーザーストーリー」「受け入れ条件」「エッジケース」「技術的制約」の観点でレビューしてもらってる。「このユーザーストーリーだと〇〇のケースが考慮されてない」みたいな指摘が結構的確で、エンジニアとの手戻りが減った。ちゃんと仕事してくれる。,False
3,seed-t3-005,py_おじさん,コーディング,Pythonのデータ処理スクリプト,pandas操作を効率化,Claude Code / ChatGPT,solved,groupby().agg()の書き方とか毎回調べてたのが不要になった。日本語で「こうやって集計して」と言えばコード出てくる。大規模データのパフォーマンス最適化は自分でやる必要あるけど、日常的な処理はほぼ任せてる。,False
3,seed-t3-006,えな_design,コーディング,Figmaデザインの実装,エンジニアとの認識ズレを減らしたい,Claude / ChatGPT,partial,デザイントークンをJSON形式で出力してTailwind CSSのクラスに変換してもらってる。色の近似値はうまくいく。レスポンシブとか複雑な挙動は結局エンジニアと話し合いが必要。共通言語ができたのはよかった。,False
3,seed-t3-007,infra_kazu,コーディング,Terraformの設定ファイル,AWSリソースのIaC化,Claude Code,solved,「EC2インスタンスを東京リージョンに、セキュリティグループ付きで作成するTerraform」のように依頼すると、ほぼそのまま使えるコードが出てきます。IAMポリシーの設定は最小権限の原則を明示的に指示する必要がありますが、ボイラープレートの生成は爆速になりました。,False
3,seed-t3-008,yoshi_TL,ライティング,技術選定の資料,経営陣に説明できるレベルに,Claude / Perplexity,solved,「ReactとVueの比較表を作って」から始めて、「非エンジニアの経営陣向けに」とブラッシュアップ。Perplexityで最新トレンドも調査した。技術的な深さと分かりやすさを両立した資料ができて、経営会議での質問にも自信を持って答えられた。われながらよくできた。,False
3,seed-t3-009,つよし@01,コーディング,MVPの開発,一人で最速リリース,Claude Code / ChatGPT,solved,非エンジニアだけどClaude Codeで3週間でMVPリリースした。Next.js + Supabaseで認証からデータ保存まで一通り実装。バグだらけだけど動くものができた時は感動した。今は「AIに作らせた」と正直に言ってエンジニア採用してる（笑）,False
3,seed-t3-010,sec_mika,分析,ログの異常検知,不正アクセスの兆候を早期発見,ChatGPT / Claude,partial,アクセスログのサンプルを渡して「異常なパターンを検出して」と依頼しています。明らかな攻撃パターン（SQLインジェクション試行など）は見つけてくれますが、高度な標的型攻撃は見逃すリスクがあります。あくまで第一段階のスクリーニングとして使い、専門ツールと併用しています。,False
3,seed-t3-011,sho_dev,コーディング,仕様書からのコード一括生成,仕様書を渡して実装まで一発でやってほしい,Claude Code,partial,10ページの仕様書を丸ごと貼り付けて「このとおりに実装して」と頼んだけど、生成されたコードが仕様の半分しか満たしていない。何回やっても必ずどこかが欠ける。,False
